region,p
Right-Thalamus-Proper,0.6566123375731996
Left-Thalamus-Proper,0.6566123375731996
Right-Caudate,0.9868058108368416
Left-Caudate,0.9868058108368416
Right-Putamen,0.8380431860847694
Left-Putamen,0.8380431860847694
Right-Hippocampus,0.37462504423591436
Left-Hippocampus,0.37462504423591436
Right-Amygdala,0.3491940206106421
Left-Amygdala,0.3491940206106421
Right-Accumbens-area,0.5150922700270696
Left-Accumbens-area,0.5150922700270696
